tri,vertex,x,y,z,fault_name
66,b,133715.0,3183528.6,-10000.0,tib_dog
66,c,132682.6,3182204.1,-7500.0,tib_dog
66,m,132925.93333333335,3183379.1,-9166.666666666666,tib_dog
67,a,121982.8,3184394.1,-2500.0,tib_dog
67,b,123609.7,3182934.1,-2500.0,tib_dog
67,c,122024.5,3181974.7,-1000.0,tib_dog
67,m,122539.0,3183100.966666667,-2000.0,tib_dog
68,a,111103.7,3184140.4,3865.0,tib_dog
68,b,110052.8,3184462.5,4119.0,tib_dog
68,c,110469.5,3184415.0,4000.0,tib_dog
68,m,110542.0,3184339.3000000003,3994.6666666666665,tib_dog
69,a,119563.3,3183893.6,-1000.0,tib_dog
69,b,122024.5,3181974.7,-1000.0,tib_dog
69,c,119271.3,3182579.5,0.0,tib_dog
69,m,120286.36666666665,3182815.9333333336,-666.6666666666666,tib_dog
70,a,114797.4,3183726.7,2000.0,tib_dog
70,b,117550.6,3181307.2,2000.0,tib_dog
70,c,114968.2,3181377.6,3881.0,tib_dog
70,m,115772.06666666667,3182137.1666666665,2627.0,tib_dog
71,a,129303.7,3184498.4,-7500.0,tib_dog
71,b,131055.7,3183247.0,-7500.0,tib_dog
71,c,128740.6,3182016.4,-5000.0,tib_dog
71,m,129700.0,3183253.9333333336,-6666.666666666667,tib_dog
72,a,127364.0,3182809.0,-5000.0,tib_dog
72,b,129303.7,3184498.4,-7500.0,tib_dog
72,c,128740.6,3182016.4,-5000.0,tib_dog
72,m,128469.43333333335,3183107.9333333336,-5833.333333333333,tib_dog
73,a,119563.3,3183893.6,-1000.0,tib_dog
73,b,121982.8,3184394.1,-2500.0,tib_dog
73,c,122024.5,3181974.7,-1000.0,tib_dog
73,m,121190.2,3183420.8000000003,-1500.0,tib_dog
74,a,130993.2,3185249.3,-10000.0,tib_dog
74,b,132380.2,3184404.6,-10000.0,tib_dog
74,c,131055.7,3183247.0,-7500.0,tib_dog
74,m,131476.36666666667,3184300.3000000003,-9166.666666666666,tib_dog
75,a,129303.7,3184498.4,-7500.0,tib_dog
75,b,130993.2,3185249.3,-10000.0,tib_dog
75,c,131055.7,3183247.0,-7500.0,tib_dog
75,m,130450.86666666665,3184331.5666666664,-8333.333333333334,tib_dog
76,a,112154.6,3183292.9,3966.0,tib_dog
76,b,114797.4,3183726.7,2000.0,tib_dog
76,c,113934.3,3182682.7,3644.0,tib_dog
76,m,113628.76666666666,3183234.1,3203.3333333333335,tib_dog
77,a,123609.7,3182934.1,-2500.0,tib_dog
77,b,124819.4,3185437.0,-5000.0,tib_dog
77,c,125987.4,3183768.4,-5000.0,tib_dog
77,m,124805.5,3184046.5,-4166.666666666667,tib_dog
78,a,109259.8,3185541.3,4000.0,tib_dog
78,b,110052.8,3184462.5,4119.0,tib_dog
78,c,108645.9,3185089.6,4492.0,tib_dog
78,m,109319.5,3185031.1333333333,4203.666666666667,tib_dog
79,a,127364.0,3182809.0,-5000.0,tib_dog
79,b,127927.1,3185708.1,-7500.0,tib_dog
79,c,129303.7,3184498.4,-7500.0,tib_dog
79,m,128198.26666666666,3184338.5,-6666.666666666667,tib_dog
80,a,125987.4,3183768.4,-5000.0,tib_dog
80,b,127927.1,3185708.1,-7500.0,tib_dog
80,c,127364.0,3182809.0,-5000.0,tib_dog
80,m,127092.83333333333,3184095.1666666665,-5833.333333333333,tib_dog
81,a,119271.3,3182579.5,0.0,tib_dog
81,b,117727.9,3185895.9,-1000.0,tib_dog
81,c,119563.3,3183893.6,-1000.0,tib_dog
81,m,118854.16666666667,3184123.0,-666.6666666666666,tib_dog
82,a,117550.6,3181307.2,2000.0,tib_dog
82,b,117727.9,3185895.9,-1000.0,tib_dog
82,c,119271.3,3182579.5,0.0,tib_dog
82,m,118183.26666666666,3183260.8666666667,333.3333333333333,tib_dog
83,a,114797.4,3183726.7,2000.0,tib_dog
83,b,117727.9,3185895.9,-1000.0,tib_dog
83,c,117550.6,3181307.2,2000.0,tib_dog
83,m,116691.96666666667,3183643.266666667,1000.0,tib_dog
84,a,121982.8,3184394.1,-2500.0,tib_dog
84,b,124819.4,3185437.0,-5000.0,tib_dog
84,c,123609.7,3182934.1,-2500.0,tib_dog
84,m,123470.63333333335,3184255.0666666664,-3333.3333333333335,tib_dog
85,a,111103.7,3184140.4,3865.0,tib_dog
85,b,112670.0,3186146.2,2000.0,tib_dog
85,c,112154.6,3183292.9,3966.0,tib_dog
