tri,vertex,x,y,z,fault_name
128,a,-66493.7242800314,3374862.487326863,-981.0,gurla
128,b,-60246.5312166898,3376933.714390677,4472.0,gurla
128,c,-65700.459982161,3372752.1065405607,-982.0,gurla
128,m,-64146.9051596274,3374849.436086034,836.3333333333334,gurla
129,a,-81368.7074285488,3375935.489477783,-20186.0,gurla
129,b,-79051.0576563369,3378606.8381775925,-15144.0,gurla
129,c,-77827.8183583013,3374743.061476691,-15170.0,gurla
129,m,-79415.861147729,3376428.4630440217,-16833.333333333332,gurla
130,a,-74807.8319352223,3375122.6541048493,-9730.0,gurla
130,b,-72459.4647283818,3378475.1329862094,-5176.0,gurla
130,c,-71331.4987466341,3375646.2637648326,-5149.0,gurla
130,m,-72866.26513674606,3376414.6836186307,-6685.0,gurla
131,a,-79051.0576563369,3378606.8381775925,-15144.0,gurla
131,b,-76072.2800320425,3378253.940000735,-9525.0,gurla
131,c,-77827.8183583013,3374743.061476691,-15170.0,gurla
131,m,-77650.38534889357,3377201.2798850066,-13279.666666666666,gurla
132,a,-76072.2800320425,3378253.940000735,-9525.0,gurla
132,b,-72459.4647283818,3378475.1329862094,-5176.0,gurla
132,c,-74807.8319352223,3375122.6541048493,-9730.0,gurla
132,m,-74446.52556521555,3377283.9090305977,-8143.666666666667,gurla
133,a,-82392.6512744353,3378857.447374359,-20076.0,gurla
133,b,-79051.0576563369,3378606.8381775925,-15144.0,gurla
133,c,-81368.7074285488,3375935.489477783,-20186.0,gurla
133,m,-80937.47211977367,3377799.9250099114,-18468.666666666668,gurla
134,a,-66986.766439658,3377196.31436382,-969.0,gurla
134,b,-60246.5312166898,3376933.714390677,4472.0,gurla
134,c,-66493.7242800314,3374862.487326863,-981.0,gurla
134,m,-64575.673978793064,3376330.8386937864,840.6666666666666,gurla
135,a,-72459.4647283818,3378475.1329862094,-5176.0,gurla
135,b,-66986.766439658,3377196.31436382,-969.0,gurla
135,c,-71331.4987466341,3375646.2637648326,-5149.0,gurla
135,m,-70259.2433048913,3377105.903704954,-3764.6666666666665,gurla
136,a,-79051.0576563369,3378606.8381775925,-15144.0,gurla
136,b,-76730.9636340844,3381235.4219344864,-10005.0,gurla
136,c,-76072.2800320425,3378253.940000735,-9525.0,gurla
136,m,-77284.76710748793,3379365.400037605,-11558.0,gurla
137,a,-72459.4647283818,3378475.1329862094,-5176.0,gurla
137,b,-67556.2113617908,3380815.4386058054,-805.0,gurla
137,c,-66986.766439658,3377196.31436382,-969.0,gurla
137,m,-69000.8141766102,3378828.9619852784,-2316.6666666666665,gurla
138,a,-76072.2800320425,3378253.940000735,-9525.0,gurla
138,b,-73077.4601654524,3381277.2699558525,-5552.0,gurla
138,c,-72459.4647283818,3378475.1329862094,-5176.0,gurla
138,m,-73869.73497529225,3379335.447647599,-6751.0,gurla
139,a,-66986.766439658,3377196.31436382,-969.0,gurla
139,b,-59968.525570283,3378888.845874719,4664.0,gurla
139,c,-60246.5312166898,3376933.714390677,4472.0,gurla
139,m,-62400.60774221027,3377672.9582097386,2722.3333333333335,gurla
